pickup_zone,pickup_borough,trip_count,avg_fare,avg_distance
JFK Airport,Queens,439625,62.3737416661923,16.027490224623225
Upper East Side South,Manhattan,416745,12.569897059353076,1.8129739289013733
Midtown Center,Manhattan,412078,15.637032770494914,2.5154517348657652
Upper East Side North,Manhattan,381987,13.284022492912634,2.0139189553571204
Midtown East,Manhattan,318427,15.263320509881538,2.4365040967003306
Penn Station/Madison Sq West,Manhattan,315854,16.100882116420777,2.376552426120914
Times Sq/Theatre District,Manhattan,298914,17.755121372702536,3.0491925436747764
Lincoln Square East,Manhattan,287181,13.824667787910855,2.2582947339830834
LaGuardia Airport,Queens,280519,42.11685693304191,9.787598237552528
Murray Hill,Manhattan,261637,15.130093794073666,2.372746324105537
Midtown North,Manhattan,255712,15.382578838693613,2.4317067638593506
Upper West Side South,Manhattan,245866,13.78811860932379,2.24505246760432
Union Sq,Manhattan,243688,14.194505720429405,2.124015093069814
Clinton East,Manhattan,242711,15.444014197955635,2.600655512111102
Lenox Hill West,Manhattan,223990,13.025752622885008,2.0291849189695874
